"Name","Error Mean","Error StdDev",
"out/gradient_none.png","0.000000","0.004506",
"out/gradient_round.png","0.007811","0.004519",
"out/gradient_white_1.png","0.007558","0.006295",
"out/gradient_white_2.png","0.007507","0.007683",
"out/gradient_white_2_reshape.png","0.007457","0.007605",
"out/gradient_white_4.png","0.007369","0.009819",
"out/gradient_white_8.png","0.007137","0.012873",
"out/gradient_white_16.png","0.006880","0.017135",
"out/gradient_white_1_subtractive.png","-0.000284","0.004649",
"out/gradient_ign_1.png","0.007558","0.006278",
"out/gradient_ign_2.png","0.007483","0.007645",
"out/gradient_ign_1_subtractive.png","-0.000253","0.004650",
"out/gradient_blue_1.png","0.007560","0.006297",
"out/gradient_blue_2.png","0.007468","0.007760",
"out/gradient_blue_2_reshape.png","0.007472","0.007634",
"out/gradient_blue_1_subtractive.png","-0.000253","0.004649",
"out/scenery_none.png","0.000408","0.004659",
"out/scenery_round.png","0.007571","0.004373",
"out/scenery_white_1.png","0.007754","0.006230",
"out/scenery_white_2.png","0.007732","0.007750",
"out/scenery_white_2_reshape.png","0.007726","0.007760",
"out/scenery_white_4.png","0.007692","0.009977",
"out/scenery_white_8.png","0.007669","0.013324",
"out/scenery_white_16.png","0.007686","0.018055",
"out/scenery_white_1_subtractive.png","-0.000036","0.004526",
"out/scenery_ign_1.png","0.007758","0.006239",
"out/scenery_ign_2.png","0.007733","0.007760",
"out/scenery_ign_1_subtractive.png","-0.000036","0.004538",
"out/scenery_blue_1.png","0.007758","0.006245",
"out/scenery_blue_2.png","0.007737","0.007754",
"out/scenery_blue_2_reshape.png","0.007735","0.007737",
"out/scenery_blue_1_subtractive.png","-0.000041","0.004537",
