"Value","Mean Rise+","Mean Rise-","Mean Tread+","Mean Tread-","StdDev Rise+","StdDev Rise-","StdDev Tread+","StdDev Tread-"
"0.867079","0.062598","0.000109","0.062435","-0.000075","0.000913","0.001308","0.003843","0.001294"
"0.730930","0.062417","-0.000063","0.062695","0.000172","0.002024","0.001301","0.003550","0.001304"
"0.369079","0.062514","0.000180","0.062316","-0.000061","0.000699","0.001299","0.003869","0.001303"
"0.035599","0.062276","-0.000127","0.062341","-0.000013","0.003170","0.001306","0.002647","0.001300"
"0.392393","0.062727","0.000041","0.062684","0.000021","0.001888","0.001306","0.003598","0.001300"
"0.886986","0.056577","-0.006114","0.062809","0.000096","0.000342","0.000964","0.003756","0.001299"
"0.887726","0.056111","-0.006283","0.062361","-0.000041","0.000356","0.000942","0.003748","0.001308"
"0.508979","0.062563","0.000266","0.062072","-0.000272","0.001053","0.001303","0.003832","0.001303"
"0.174346","0.062797","0.000135","0.062440","-0.000178","0.003740","0.001304","0.001475","0.001300"
"0.871626","0.062543","0.000090","0.062485","0.000052","0.000404","0.001299","0.003895","0.001308"
