"Name","Error Mean","Error StdDev",
"out/gradient_none.png","0.013835","0.008034",
"out/gradient_round.png","-0.000000","0.008011",
"out/gradient_white_1.png","-0.000008","0.011345",
"out/gradient_white_2.png","-0.000056","0.013694",
"out/gradient_white_2_reshape.png","-0.000064","0.013600",
"out/gradient_white_4.png","0.000085","0.017349",
"out/gradient_white_8.png","0.000048","0.022557",
"out/gradient_white_16.png","0.000114","0.029662",
"out/gradient_white_1_subtractive.png","0.013935","0.008019",
"out/gradient_ign_1.png","-0.000003","0.011330",
"out/gradient_ign_2.png","-0.000006","0.013644",
"out/gradient_ign_1_subtractive.png","0.013883","0.008019",
"out/gradient_blue_1.png","0.000024","0.011342",
"out/gradient_blue_2.png","0.000030","0.013646",
"out/gradient_blue_2_reshape.png","0.000036","0.013616",
"out/gradient_blue_1_subtractive.png","0.013913","0.008019",
"out/scenery_none.png","0.014499","0.007927",
"out/scenery_round.png","-0.001071","0.007914",
"out/scenery_white_1.png","0.000017","0.011382",
"out/scenery_white_2.png","0.000017","0.013844",
"out/scenery_white_2_reshape.png","0.000009","0.013836",
"out/scenery_white_4.png","-0.000035","0.017704",
"out/scenery_white_8.png","-0.000180","0.023367",
"out/scenery_white_16.png","-0.000547","0.031205",
"out/scenery_white_1_subtractive.png","0.013893","0.008020",
"out/scenery_ign_1.png","-0.000005","0.011382",
"out/scenery_ign_2.png","0.000015","0.013860",
"out/scenery_ign_1_subtractive.png","0.013880","0.008015",
"out/scenery_blue_1.png","0.000016","0.011412",
"out/scenery_blue_2.png","0.000016","0.013854",
"out/scenery_blue_2_reshape.png","0.000004","0.013842",
"out/scenery_blue_1_subtractive.png","0.013903","0.008013",
